listing_id,reviews_total,reviews_last_365d
4110645,77,0
4117817,4,0
4121173,2,0
4121363,31,7
4125398,6,0
4126676,52,0
4127402,14,0
4128337,283,0
4128428,15,0
4128450,2,0
4129909,61,0
4132116,159,28
4134035,213,27
4135674,5,0
4137414,6,0
4140776,37,2
4152752,750,73
4155012,9,0
4162119,46,0
4162519,238,3
4162667,3,0
4169094,25,0
4172633,1,0
4173751,4,0
4174847,47,1
4181102,14,0
4183424,28,0
4183801,141,2
4183989,71,5
4191257,1,0
4198695,7,0
4206087,4,0
4211276,3,0
4211459,7,0
4216183,3,0
4216813,203,2
4225745,7,0
4227554,142,0
4235620,32,3
4241028,468,0
4244476,1,0
4248788,5,0
4249342,102,2
4258867,21,0
4260964,93,0
4261951,2,0
4263802,68,0
4264049,12,0
4264071,4,2
4264127,19,0
4265471,35,3
4268286,303,26
4271059,7,0
4271877,176,0
4273931,57,0
4274589,22,0
4279260,104,0
4279323,2,0
4281241,24,0
4285522,39,7
4293040,1,0
4293935,76,0
4294969,1,0
4296710,134,0
4297952,376,3
4299536,82,14
4303600,62,4
4305170,105,0
4308991,9,0
4310501,74,0
4329728,20,0
4331684,16,0
4338541,8,0
4338548,53,1
4339202,2,0
4339924,91,0
4343860,15,0
4349695,32,0
4351563,7,0
4352537,65,4
4354764,162,0
4355934,190,2
4357496,13,0
4357892,94,0
4359718,152,3
4365242,5,0
4365276,274,0
4365833,4,0
4377929,295,2
4378951,259,1
4383734,12,0
4384820,1,0
4386718,1,0
4387152,159,2
4387491,9,0
4392596,4,0
4392996,8,0
4394687,7,0
4397455,89,2
4399443,10,1
4401193,4,0
4405156,101,2
4410643,3,0
4412533,72,0
4422017,7,0
4426780,25,0
4426877,16,1
4428027,3,0
4428854,203,3
